HSCode,Description,Partner Countries,Unit,Quantity,Exports_Value
73063000,"Other tubes,pipes&hollow profile, welded,o   circular crosssection,of iron/nonall",India,Kg,168200,17708
73069090,"Others welded, of non-circular cross-section pipe",India,Kg,22200,2153
73090000,"Reservoirs, tanks (excl for gas) of ir on o  steel, >300 l",India,PCS,11,208
73141400,Woven cloth of stainless steel (excl endl e s bands for machinery),Thailand,Kg,100,1275
73239300,"Table, kitchen or household articles of  st inless steel",Australia,Kg,1900,492
73239300,"Table, kitchen or household articles of  st inless steel",Bhutan,Kg,10,5
73239300,"Table, kitchen or household articles of  st inless steel",China,Kg,800,9
73239300,"Table, kitchen or household articles of  st inless steel",India,Kg,58895,11440
73239300,"Table, kitchen or household articles of  st inless steel",Indonesia,Kg,70,8
73239300,"Table, kitchen or household articles of  st inless steel",Japan,Kg,70,106
73239300,"Table, kitchen or household articles of  st inless steel",New Zealand,Kg,20,8
73239300,"Table, kitchen or household articles of  st inless steel",Singapore,Kg,3,22
73239300,"Table, kitchen or household articles of  st inless steel","Taiwan, Province of China",Kg,40,48
73239300,"Table, kitchen or household articles of  st inless steel",United States,Kg,8618,2420
73239400,"Table, kitchen or household articles of  ir n or steel, enamelled",India,Kg,24917,5027
73239900,"Table, kitchen or household articles of  ir n or steel, nes.",Australia,Kg,5407,5051
74081100,"Wire of refined copper, maximum cross-sect  onal dimension >6mm.",Belgium,Kg,395,1072
74081100,"Wire of refined copper, maximum cross-sect  onal dimension >6mm.",Bhutan,Kg,20,21
74081100,"Wire of refined copper, maximum cross-sect  onal dimension >6mm.",Japan,Kg,45,101
74081100,"Wire of refined copper, maximum cross-sect  onal dimension >6mm.",Malaysia,Kg,63,119
74081100,"Wire of refined copper, maximum cross-sect  onal dimension >6mm.",Switzerland,Kg,30,31
74081100,"Wire of refined copper, maximum cross-sect  onal dimension >6mm.",United States,Kg,206,131
74092100,"Plates, sheets and strip, of brass, in coi  s, >015mm thick.",India,Kg,72614,74387
74092900,"Plates, sheets and strip, of brass, uncoil  d, >015mm thick.",India,Kg,3845,3410
74198000,Other,Australia,Kg,1234,292
74198000,Other,India,Kg,13,11
76151000,"Table, kitchen or other household articles  nd parts thereof;pot scourers and sco",Australia,PCS,3208,1542
76151000,"Table, kitchen or other household articles  nd parts thereof;pot scourers and sco",China,PCS,949,133
76151000,"Table, kitchen or other household articles  nd parts thereof;pot scourers and sco",Japan,PCS,589,102
76151000,"Table, kitchen or other household articles  nd parts thereof;pot scourers and sco",United States,PCS,471,481
78011000,"Refined lead, unwrought",India,Kg,60200,15411
78019900,Unwrought lead (excl refined and containi n  antimony),India,Kg,145306,40782
79020000,Zinc waste and scrap  .,India,Kg,49340,10553
82081000,"Knives and cutting blades, for metal worki  g machines",United States,PCS,48,70
82151000,"Sets of assorted spoons, forks, etc (one o   more plated with precious metal)",Chile,Kg,6200,174
82151000,"Sets of assorted spoons, forks, etc (one o   more plated with precious metal)",Denmark,Kg,35,33
82151000,"Sets of assorted spoons, forks, etc (one o   more plated with precious metal)",France,Kg,4,0
82151000,"Sets of assorted spoons, forks, etc (one o   more plated with precious metal)",Germany,Kg,18,23
82151000,"Sets of assorted spoons, forks, etc (one o   more plated with precious metal)",India,Kg,15,915
82151000,"Sets of assorted spoons, forks, etc (one o   more plated with precious metal)",Indonesia,Kg,15950,617
82151000,"Sets of assorted spoons, forks, etc (one o   more plated with precious metal)",Poland,Kg,15,8
82151000,"Sets of assorted spoons, forks, etc (one o   more plated with precious metal)",United States,Kg,730,560
83061090,"Other type  of bells, gongs and the like  .",Italy,Kg,85,83
83061090,"Other type  of bells, gongs and the like  .",United States,Kg,5801,12347
83062110,Statuettes of plated with precious metal,China,Kg,4105,279
83062110,Statuettes of plated with precious metal,Germany,Kg,250,30621
83062910,Other statuettes,Australia,Kg,13,1
83062910,Other statuettes,Bhutan,Kg,1728,2149
83062910,Other statuettes,Canada,Kg,170,280
83062910,Other statuettes,Chile,Kg,1400,250
83062910,Other statuettes,China,Kg,3785,589
83062910,Other statuettes,Colombia,Kg,2,45
83062910,Other statuettes,Denmark,Kg,1,91
83062910,Other statuettes,France,Kg,245,838
83062910,Other statuettes,Hong Kong,Kg,25,683
83062910,Other statuettes,India,Kg,7328,4545
83062910,Other statuettes,Indonesia,Kg,5900,892
83062910,Other statuettes,Malaysia,Kg,28,95
83062910,Other statuettes,New Zealand,Kg,9,8
83062910,Other statuettes,Norway,Kg,23,890
83062910,Other statuettes,Poland,Kg,5,20
83062910,Other statuettes,Singapore,Kg,168,889
83062910,Other statuettes,Switzerland,Kg,0,21
83062910,Other statuettes,United States,Kg,85,1356
83062990,Other ornaments,China,Kg,8038,747
83062990,Other ornaments,United Kingdom,Kg,1,26
83063000,"Photograph, picture or similar frames; mir  ors of base metal",Australia,Kg,4542,6541
83063000,"Photograph, picture or similar frames; mir  ors of base metal",Germany,Kg,8,3
84713010,Laptop and note book,Uganda,PCS,28,2582
85153900,"Machines for arc (incl plasma arc) weldin g of metals, not automatic.",India,PCS,159,109
85444200,"Electric conductors, for a voltage <=1000V  fitted with connectors",Bhutan,MTR,1,12
85446000,"Electric conductors, nes, for a voltage >1  00 V.",India,MTR,1000,1164
87114000,Motorcycle With piston engine of exceeding 500CC not exceeding 800CC,Turkey,PCS,1,70
90013010,Intraocular contact lenses   .,South Africa,PCS,970,794
90013010,Intraocular contact lenses   .,Sri Lanka,PCS,1687,4795
90014000,Spectacle lenses of glass   .,Mongolia,PCS,359,341
90213900,Other artificial parts of the body (excl  a tificial joints).,China,PCS,3474,2594
92021000,"String musical instruments played with a b  w (eg Guitars, violins, harps)",Slovenia,PCS,359,276
92021000,"String musical instruments played with a b  w (eg Guitars, violins, harps)",United States,PCS,39,34
92029000,"String musical instruments, nes   .",India,PCS,1,10
92059000,Other wind musical instruments (excl brass wind),United States,PCS,6,115
92060000,"Percussion musical instruments (eg drums,  xylophones, cymbals, etc).",Australia,PCS,2855,1749
92060000,"Percussion musical instruments (eg drums,  xylophones, cymbals, etc).",Austria,PCS,115,482
92060000,"Percussion musical instruments (eg drums,  xylophones, cymbals, etc).",Belgium,PCS,393,124
92060000,"Percussion musical instruments (eg drums,  xylophones, cymbals, etc).",Canada,PCS,1438,963
92060000,"Percussion musical instruments (eg drums,  xylophones, cymbals, etc).",Chile,PCS,1276,301
92060000,"Percussion musical instruments (eg drums,  xylophones, cymbals, etc).",China,PCS,76503,3294
92060000,"Percussion musical instruments (eg drums,  xylophones, cymbals, etc).",Czech Republic,PCS,74,49
92060000,"Percussion musical instruments (eg drums,  xylophones, cymbals, etc).",Denmark,PCS,408,148
92060000,"Percussion musical instruments (eg drums,  xylophones, cymbals, etc).",France,PCS,9734,7882
92060000,"Percussion musical instruments (eg drums,  xylophones, cymbals, etc).",Germany,PCS,42904,25459
92060000,"Percussion musical instruments (eg drums,  xylophones, cymbals, etc).",Hong Kong,PCS,772,2253
92060000,"Percussion musical instruments (eg drums,  xylophones, cymbals, etc).",Hungary,PCS,578,1607
92060000,"Percussion musical instruments (eg drums,  xylophones, cymbals, etc).",Indonesia,PCS,4529,210
92060000,"Percussion musical instruments (eg drums,  xylophones, cymbals, etc).",Israel,PCS,410,581
92060000,"Percussion musical instruments (eg drums,  xylophones, cymbals, etc).",Japan,PCS,1134,194
92060000,"Percussion musical instruments (eg drums,  xylophones, cymbals, etc).","Korea, Republic of",PCS,592,156
92060000,"Percussion musical instruments (eg drums,  xylophones, cymbals, etc).",Latvia,PCS,115,673
92060000,"Percussion musical instruments (eg drums,  xylophones, cymbals, etc).",Lithuania,PCS,8742,1206
92060000,"Percussion musical instruments (eg drums,  xylophones, cymbals, etc).",Malaysia,PCS,283,118
92060000,"Percussion musical instruments (eg drums,  xylophones, cymbals, etc).",Netherlands,PCS,477,159
92060000,"Percussion musical instruments (eg drums,  xylophones, cymbals, etc).",Poland,PCS,839,192
92060000,"Percussion musical instruments (eg drums,  xylophones, cymbals, etc).",South Africa,PCS,41,9
92060000,"Percussion musical instruments (eg drums,  xylophones, cymbals, etc).",Spain,PCS,574,236
92060000,"Percussion musical instruments (eg drums,  xylophones, cymbals, etc).",United Arab Emirates,PCS,279,810
92060000,"Percussion musical instruments (eg drums,  xylophones, cymbals, etc).",United Kingdom,PCS,9255,8515
92060000,"Percussion musical instruments (eg drums,  xylophones, cymbals, etc).",United States,PCS,32596,14268
92060000,"Percussion musical instruments (eg drums,  xylophones, cymbals, etc).",Uruguay,PCS,16,25
93070000,"Swords, cutlasses, bayonets, lances and si  ilar arms and parts thereof",United States,PCS,230,980
94036000,"Wooden furniture, nes   .",Canada,PCS,157,179
94036000,"Wooden furniture, nes   .",New Zealand,PCS,18,65
94036000,"Wooden furniture, nes   .",Poland,PCS,2,13
94036000,"Wooden furniture, nes   .",Russian Federation,PCS,18,634
94036000,"Wooden furniture, nes   .",Singapore,PCS,1,114
94036000,"Wooden furniture, nes   .",Switzerland,PCS,9,151
94036000,"Wooden furniture, nes   .","Taiwan, Province of China",PCS,3,202
94036000,"Wooden furniture, nes   .",United States,PCS,55,404
94041000,Mattress supports   .,India,PCS,31,50
94049000,"Articles of bedding, stuffed, etc (excl m a tresses and sleeping bags)",India,PCS,38,60
95059000,"Festive, carnival or other entertainment a  ticles, nes",United States,Kg,4250,11166
95072000,Fish-hooks,United States,Kg,10,188
96031000,"Brooms and brushes, of twigs or other vege  able materials bound together",India,PCS,10515,1875
96031000,"Brooms and brushes, of twigs or other vege  able materials bound together","Korea, Republic of",PCS,7407,2636
96063000,Button moulds and other parts of buttons;   utton blanks,Hong Kong,Kg,16,267
96063000,Button moulds and other parts of buttons;   utton blanks,United States,Kg,17,157
96190010,Sanitary towel (Pad),India,PCS,1109000,2917
96190030,Diaper,India,PCS,2440765,15529
97012900,Other,Thailand,PCS,137,286
97019100,"Paintings, drawings and pastels",Australia,PCS,1061,636
97019100,"Paintings, drawings and pastels",Belgium,PCS,687,159
97019100,"Paintings, drawings and pastels",Bhutan,PCS,11808,3153
97019100,"Paintings, drawings and pastels",Canada,PCS,8576,1515
97019100,"Paintings, drawings and pastels",China,PCS,84450,4157
97019100,"Paintings, drawings and pastels",Denmark,PCS,33,44
97019100,"Paintings, drawings and pastels",France,PCS,9998,4210
97019100,"Paintings, drawings and pastels",Germany,PCS,20433,4929
97019100,"Paintings, drawings and pastels",Ireland,PCS,106,19
97019100,"Paintings, drawings and pastels",Israel,PCS,100,25
97019100,"Paintings, drawings and pastels",Italy,PCS,11563,511
97019100,"Paintings, drawings and pastels",Japan,PCS,15520,911
97019100,"Paintings, drawings and pastels",Malaysia,PCS,95,65
97019100,"Paintings, drawings and pastels",Netherlands,PCS,9837,933
97019100,"Paintings, drawings and pastels",Poland,PCS,4516,754
97019100,"Paintings, drawings and pastels",Singapore,PCS,127,133
97019100,"Paintings, drawings and pastels",South Africa,PCS,5,35
97019100,"Paintings, drawings and pastels",Switzerland,PCS,5,16
97019100,"Paintings, drawings and pastels","Taiwan, Province of China",PCS,299755,423
97019100,"Paintings, drawings and pastels",United Kingdom,PCS,2292,500
97019100,"Paintings, drawings and pastels",United States,PCS,154179,19152
97019100,"Paintings, drawings and pastels",Viet Nam,PCS,2537,269
97030000,"Original sculptures and statuary, in any m  terial",China,PCS,11117,3221
97030000,"Original sculptures and statuary, in any m  terial",Czech Republic,PCS,6,11
97030000,"Original sculptures and statuary, in any m  terial",France,PCS,2,1668
97030000,"Original sculptures and statuary, in any m  terial",Germany,PCS,492,1485
97030000,"Original sculptures and statuary, in any m  terial",Hong Kong,PCS,17,565
97030000,"Original sculptures and statuary, in any m  terial",India,PCS,325,1532
97030000,"Original sculptures and statuary, in any m  terial",Israel,PCS,2,120
97030000,"Original sculptures and statuary, in any m  terial",Lithuania,PCS,358,155
97030000,"Original sculptures and statuary, in any m  terial",Norway,PCS,3,344
97030000,"Original sculptures and statuary, in any m  terial",Switzerland,PCS,3,21
97030000,"Original sculptures and statuary, in any m  terial","Taiwan, Province of China",PCS,4,153
97030000,"Original sculptures and statuary, in any m  terial",Thailand,PCS,2,381
97030000,"Original sculptures and statuary, in any m  terial",United States,PCS,3993,3569
97030000,"Original sculptures and statuary, in any m  terial",Viet Nam,PCS,1405,762
