Table 4:Imports by Commodities and Partner Countries : 		Based on First Month (Shrawan) of FY 2079/80 (Mid July 2022 to Mid August 2022)				
				(Import Value and Imports Revenue are in Rs. Thousands)		
HSCode	Description	Partner Countries	Unit	Quantity	Imports_Value	Imports_Revenue
08041010	Dates fresh	India	Kg	1	0	0
08042010	Figs, (Anjir) fresh only	India	Kg	470	313	92
08043000	Pineapples, fresh or dried	India	Kg	1247232	56403	10725
08044000	Avocados, fresh or dried  .	Uganda	Kg	39550	11528	2388
08045000	Guavas, mangoes and mangosteens, fresh or  dried.	India	Kg	3537828	180569	34791
08051000	Oranges, fresh or dried	India	Kg	129843	8755	1227
08055000	Lemons ( Cirtus limon, Cirtus limonum) and  limes (Cirtus aurantifolia. Cirtus lat	India	Kg	817274	61020	8584
08059000	Citrus fruit, fresh or dried, nes	India	Kg	75155	4218	592
08061000	Fresh grapes	India	Kg	9019	647	65
08062000	Dried grapes	India	Kg	17195	4039	1377
08071100	Watermelons, fresh	India	Kg	1930609	52081	7299
08072000	Papaws (papayas), fresh	India	Kg	915300	32774	4600
08081000	Apples, fresh	China	Kg	2692804	263778	38982
08081000	Apples, fresh	India	Kg	6518095	434960	61292
08083000	Pears	China	Kg	237897	18311	2594
08083000	Pears	India	Kg	3439	162	23
08091000	Apricots, fresh	Turkey	Kg	392	313	81
08092900	Other cherries .	Turkey	Kg	1320	1275	191
08093000	Peaches, including nectarines, fresh  .	Turkey	Kg	350	291	44
08094000	Plums and sloes, fresh	India	Kg	290	12	2
08104000	Cranberries, bilberries and other fruiits  of the genus Vaccinium	India	Kg	9	1	0
08105000	Kiwifruit, fresh  .	India	Kg	4115	1837	185
08109010	Pomegranate, Fresh	India	Kg	972452	100201	14183
08109090	Other fruit, fresh, nes	China	Kg	408	46	7
08109090	Other fruit, fresh, nes	India	Kg	310542	14948	2126
08109090	Other fruit, fresh, nes	Uganda	Kg	48	49	7
08109090	Other fruit, fresh, nes	Viet Nam	Kg	8190	1835	275
08119000	Other fruit and nuts, frozen, nes	India	Kg	6885	682	199
08129000	Other fruit and nuts, provisionally preser ved, not for immediate consumption.	Hong Kong	Kg	1	0	0
08131000	Dried apricots	India	Kg	960	399	171
08134000	Other dried fruit, except heading 0801 to  0806 nes	China	Kg	210	17	7
08134000	Other dried fruit, except heading 0801 to  0806 nes	Kuwait	Kg	146	62	27
08134000	Other dried fruit, except heading 0801 to  0806 nes	Taiwan, Province of China	Kg	4	2	1
08134000	Other dried fruit, except heading 0801 to  0806 nes	Thailand	Kg	92	119	51
08135000	Mixtures of dried fruit of this chapter or  nuts	India	Kg	17850	2931	1259
08135000	Mixtures of dried fruit of this chapter or  nuts	Thailand	Kg	1200	163	70
08140000	Peel of citrus fruit or melons, fresh,froz en, dried or provisionally preserved	Bulgaria	Kg	30	43	13
08140000	Peel of citrus fruit or melons, fresh,froz en, dried or provisionally preserved	India	Kg	1501	374	112
09011100	Coffee, not roasted, not decaffeinated	China	Kg	1	2	1
09011100	Coffee, not roasted, not decaffeinated	Hong Kong	Kg	3	3	1
09011100	Coffee, not roasted, not decaffeinated	India	Kg	14100	5091	2037
09011100	Coffee, not roasted, not decaffeinated	United Kingdom	Kg	4	6	2
09011200	Decaffeinated coffee, not roasted	India	Kg	1	2	1
09012100	Roasted coffee, not decaffeinated	Hong Kong	Kg	14	11	7
09012100	Roasted coffee, not decaffeinated	Kuwait	Kg	39	54	31
09012100	Roasted coffee, not decaffeinated	Qatar	Kg	63	43	25
09012100	Roasted coffee, not decaffeinated	United Arab Emirates	Kg	2	2	1
09012200	Roasted, decaffeinated coffee	Korea, Republic of	Kg	2168	5710	3323
09012200	Roasted, decaffeinated coffee	Thailand	Kg	3324	4829	2810
09019000	Coffee husks and skins,coffee substitutes  containing coffee in any proportion	Australia	Kg	2	0	0
09019000	Coffee husks and skins,coffee substitutes  containing coffee in any proportion	India	Kg	1	0	0
09019000	Coffee husks and skins,coffee substitutes  containing coffee in any proportion	Israel	Kg	12	9	6
09021000	Green tea,whether or not flavoured, in imm  diate packings of content <=3kg	India	Kg	272	648	368
09021000	Green tea,whether or not flavoured, in imm  diate packings of content <=3kg	Japan	Kg	6	5	3
09021000	Green tea,whether or not flavoured, in imm  diate packings of content <=3kg	Qatar	Kg	1	1	1
09022000	Green tea,whether or not flavoured, nes	Israel	Kg	497	597	239
09022000	Green tea,whether or not flavoured, nes	Myanmar	Kg	3	1	0
