,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,yearHigh,yearLow,totalTradedVolume,totalTradedValue,lastUpdateTime,perChange365d,perChange30d
444,ROSSARIEQN,813.8,821.0,801.0,810.0,809.55,0.45,0.06,1052.85,536.35,38226,31078120.259999998,22-Aug-2023 15:55:46,-13.46,-7.31
445,GSPLEQN,272.6,276.95,272.3,275.0,274.9,0.1,0.04,310.75,214.9,289108,79556739.44,22-Aug-2023 15:59:44,12.16,-3.61
446,BEMLEQN,2072.0,2134.0,2064.9,2069.95,2069.3,0.65,0.03,2134.5,1128.0,518600,1090538010.0,22-Aug-2023 15:59:09,13.81,22.96
447,GAELEQN,245.4,247.2,243.35,244.8,244.8,0.0,0.0,318.7,222.35,153826,37793509.94,22-Aug-2023 15:59:17,-14.9,-5.23
448,GRINFRAEQN,1260.0,1274.9,1247.0,1256.0,1256.0,0.0,0.0,1427.95,930.0,17093,21563503.22,22-Aug-2023 15:49:57,-8.53,-2.7
449,SHARDACROPEQN,424.9,424.9,417.0,422.0,422.05,-0.05,-0.01,580.0,368.55,126482,53154060.5,22-Aug-2023 15:58:44,-18.26,-17.78
450,AETHEREQN,1060.0,1064.0,1051.15,1054.3,1054.7,-0.4,-0.04,1209.0,810.0,57851,61139829.349999994,22-Aug-2023 15:57:51,23,-1.16
451,SANOFIEQN,7235.0,7235.0,7141.8,7195.2,7200.9,-5.7,-0.08,7590.0,5202.1,8620,62001246.4,22-Aug-2023 15:55:23,13.66,4.17
452,GPPLEQN,119.7,121.15,119.15,119.4,119.5,-0.1,-0.08,127.85,81.1,1045644,125571387.96000001,22-Aug-2023 15:58:08,40.75,-2.21
453,MAPMYINDIAEQN,1662.0,1667.5,1650.0,1650.5,1652.0,-1.5,-0.09,1720.0,984.05,99327,164925530.61,22-Aug-2023 15:58:27,27.05,13.61
454,JAMNAAUTOEQN,109.15,110.85,108.7,109.0,109.1,-0.1,-0.09,126.75,94.4,1092829,119763130.11,22-Aug-2023 15:59:44,-6.15,-0.05
455,HLEGLASEQN,569.8,579.95,568.0,569.0,569.6,-0.6000000000000001,-0.11,815.0,465.0,42450,24269514.0,22-Aug-2023 15:55:53,-83.59,-12.26
456,VGUARDEQN,309.55,313.7,307.05,307.35,307.7,-0.35000000000000003,-0.11,335.0,224.95,228857,70865570.05,22-Aug-2023 15:55:07,28.61,8.42
457,POLYMEDEQN,1435.25,1476.9,1406.25,1427.0,1428.9,-1.9,-0.13,1506.75,737.4,200699,291854478.81,22-Aug-2023 15:49:48,90.94,26.61
458,NHEQN,997.65,1002.3,986.0,992.9,994.3,-1.4,-0.14,1076.95,675.0,169527,168048724.56,22-Aug-2023 15:58:37,38.28,-3.47
459,SWSOLARBEN,366.0,370.9,362.0,364.95,365.6,-0.65,-0.18,408.5,256.25,268927,97851778.22,22-Aug-2023 15:57:42,-,-
460,SUNTECKEQN,369.95,371.1,364.0,366.6,367.35,-0.75,-0.2,483.4,271.1,623282,227716078.70000002,22-Aug-2023 15:54:44,-21.67,-2.5700000000000003
461,KPILEQN,638.4,639.35,629.05,637.0,638.45,-1.45,-0.23,655.0,356.0,76494,48507140.22,22-Aug-2023 15:59:59,-,13.01
462,UFLEXEQN,377.7,379.9,374.0,375.0,376.05,-1.05,-0.28,811.0,325.1,88632,33437308.32,22-Aug-2023 15:59:52,-43.93,-13.65
463,SHYAMMETLEQN,467.75,477.5,463.8,466.2,467.75,-1.55,-0.33,479.9,254.55,338170,158787723.5,22-Aug-2023 15:57:58,56.33,20.98
464,CHEMPLASTSEQN,473.0,479.0,465.05,468.15,469.8,-1.65,-0.35000000000000003,501.0,342.05,133320,62908375.2,22-Aug-2023 15:56:23,9.92,8.98
465,MFLEQN,883.0,906.0,883.0,892.0,895.4,-3.4,-0.38,1736.0,815.0,46434,41638760.82,22-Aug-2023 15:55:14,-38.34,-7.1
466,IBREALESTEQN,64.1,64.7,63.5,63.55,63.8,-0.25,-0.39,94.5,45.9,3936214,251799609.57999998,22-Aug-2023 15:59:39,-20.55,-4.13
467,CHOLAHLDNGEQN,919.0,929.0,911.3,914.95,918.55,-3.6,-0.39,996.15,511.3,136118,124957685.17999999,22-Aug-2023 15:57:27,40.62,-0.54
468,BRIGADEEQN,608.95,611.35,585.0,589.4,592.05,-2.65,-0.45,611.35,430.7,613906,366170372.76000005,22-Aug-2023 15:54:07,18.41,3.03
469,WESTLIFEEQN,921.9,921.9,905.35,911.6,915.7,-4.1,-0.45,966.9,597.6,242197,220588183.66,22-Aug-2023 15:56:47,49.81,2.77
470,FDCEQN,393.1,395.95,387.05,387.5,389.55,-2.05,-0.53,428.95,245.25,327712,127879776.64000002,22-Aug-2023 15:59:44,49,16.2
471,SOBHAEQN,581.5,590.2,574.35,576.0,579.1,-3.1,-0.54,750.85,412.1,407043,237395618.46,22-Aug-2023 15:58:25,-18.95,3.48
472,SHOPERSTOPEQN,795.25,799.7,784.1,790.9,795.25,-4.35,-0.55,888.5,573.8,63118,49858170.559999995,22-Aug-2023 15:53:29,29.08,1.73
473,BASFEQN,2491.0,2509.0,2480.0,2480.5,2494.5,-14.0,-0.56,3526.1,2193.0,12254,30515033.34,22-Aug-2023 15:43:25,-24.03,-4.46
474,OLECTRAEQN,1238.3,1251.25,1210.3,1222.0,1229.0,-7.0,-0.5700000000000001,1465.0,374.1,654532,804295466.92,22-Aug-2023 15:59:38,97.43,-3.62
475,360ONEEQN,510.0,516.3,505.1,509.9,513.05,-3.15,-0.61,545.0,395.1,213462,109288274.76,22-Aug-2023 15:59:56,-,-0.55
476,ECLERXEQN,1648.0,1648.0,1612.9,1617.0,1628.15,-11.15,-0.68,1852.4,1221.0,25372,41299273.0,22-Aug-2023 15:58:47,-27.79,-7.96
477,MTARTECHEQN,2149.0,2149.0,2093.0,2119.5,2136.65,-17.15,-0.8,2330.0,1473.0,296544,627187594.56,22-Aug-2023 15:59:44,33.41,1.07
478,NOCILEQN,223.25,226.45,221.0,221.4,223.25,-1.85,-0.8300000000000001,294.9,199.1,355715,79594788.39999999,22-Aug-2023 15:59:57,-15.99,5.11
479,VAIBHAVGBLEQN,369.0,377.15,361.0,365.3,368.4,-3.1,-0.84,418.0,268.7,171008,63096821.760000005,22-Aug-2023 15:57:55,18.34,7.91
480,GODFRYPHLPEQN,2171.0,2191.75,2145.25,2173.0,2192.2,-19.2,-0.88,2252.2,1047.0,69671,150914353.1,22-Aug-2023 15:59:41,88.94,34.27
481,ZYDUSWELLEQN,1573.95,1573.95,1543.0,1549.35,1563.15,-13.8,-0.88,1791.0,1370.1,38474,60109084.419999994,22-Aug-2023 15:58:55,-2.9699999999999998,5.84
482,LUXINDEQN,1498.7,1501.6,1475.0,1480.05,1493.75,-13.7,-0.92,1959.0,1111.0,23235,34485619.35,22-Aug-2023 15:59:02,-16.45,1.58
483,GOCOLORSEQN,1251.05,1279.0,1249.6,1250.0,1262.15,-12.15,-0.96,1453.0,876.05,67039,84852603.08,22-Aug-2023 15:58:29,13.87,10.09
484,JMFINANCILEQN,81.95,82.1,79.6,79.9,80.7,-0.8,-0.99,85.8,57.85,4606450,371924773.0,22-Aug-2023 15:58:00,23.3,9.95
485,SUVENPHAREQN,525.25,532.5,515.25,519.0,524.3,-5.3,-1.01,534.55,390.5,381189,198805311.05999997,22-Aug-2023 15:57:55,15.98,8.45
486,TCNSBRANDSEQN,441.8,441.8,430.65,436.0,440.55,-4.55,-1.03,729.85,391.35,79232,34412042.24,22-Aug-2023 15:55:33,-23.74,6.12
487,CIEINDIAEQN,498.65,503.65,493.5,495.2,500.5,-5.3,-1.06,579.75,250.45,275525,136974498.5,22-Aug-2023 15:59:10,-,1.71
488,MOTILALOFSEQN,915.0,920.5,904.0,904.05,914.0,-9.95,-1.09,962.8,551.25,94930,86768867.89999999,22-Aug-2023 15:56:59,18.69,22.76
489,CASTROLINDEQN,147.2,147.55,144.5,145.0,146.6,-1.6,-1.09,158.0,107.4,820356,119763772.44000001,22-Aug-2023 15:58:57,27.2,9.04
490,APLLTDEQN,770.0,777.7,760.0,766.5,775.25,-8.75,-1.13,798.0,462.3,88882,68074723.8,22-Aug-2023 15:59:16,18.94,12.23
491,SPARCEQN,226.75,227.6,224.0,224.05,226.65,-2.6,-1.15,265.85,162.1,141617,31909142.439999998,22-Aug-2023 15:58:08,-6.13,-1.3900000000000001
492,SONATSOFTWEQN,1037.95,1039.1,1014.0,1021.9,1033.9,-12.0,-1.16,1094.7,487.25,420980,433849358.59999996,22-Aug-2023 15:58:48,46.25,-1.25
493,SUPRAJITEQN,391.8,396.0,386.0,386.15,390.8,-4.65,-1.19,446.4,317.25,291856,113996035.03999999,22-Aug-2023 15:59:22,18.16,-8.84
494,GESHIPEQN,780.0,780.0,764.15,765.8,775.05,-9.25,-1.19,834.3,478.65,101156,78092432.0,22-Aug-2023 15:56:16,49.77,1.3900000000000001
495,ERISEQN,857.85,857.85,828.6,836.0,846.25,-10.25,-1.21,880.0,551.3,114367,96128894.50999999,22-Aug-2023 15:55:01,25.13,13.58
496,BLSEQN,285.0,286.05,277.55,280.4,283.85,-3.45,-1.22,286.4,110.08,2690326,757730317.9,22-Aug-2023 15:59:53,21.64,30.99
497,TATAINVESTEQN,2462.85,2479.9,2415.0,2419.0,2449.05,-30.05,-1.23,2883.4,1485.0,70375,171168186.25,22-Aug-2023 15:58:22,61.83,3.9
498,VMARTEQN,2198.1,2198.1,2153.9,2158.0,2187.15,-29.15,-1.33,3174.9,1954.05,11553,24978625.770000003,22-Aug-2023 15:56:35,-25.81,-1.71
499,HOMEFIRSTEQN,864.5,877.15,855.25,858.9,870.8,-11.9,-1.37,979.0,652.0,52904,45820683.44,22-Aug-2023 15:58:31,-3.52,7.21
500,BLUESTARCOEQN,746.25,747.45,733.45,736.0,746.3,-10.3,-1.38,820.0,515.15,62514,46164088.440000005,22-Aug-2023 15:55:26,-30.23,-5.57
501,JBMAEQN,1545.75,1570.9,1506.0,1515.0,1537.3,-22.3,-1.45,1570.9,361.0,676921,1041618957.96,22-Aug-2023 15:59:44,273.22,9.34
502,TTKPRESTIGEQN,779.0,779.0,763.55,764.0,775.4,-11.4,-1.47,1049.9,652.35,46695,35798254.8,22-Aug-2023 15:59:50,-12.75,-1.1400000000000001
503,IFBINDEQN,905.0,905.0,886.65,888.0,901.75,-13.75,-1.52,1129.95,698.0,184989,166345808.58,22-Aug-2023 15:59:45,-13.35,7.94
504,RHIMEQN,714.7,720.45,697.65,699.95,710.85,-10.9,-1.53,892.9,530.35,175249,123916815.41000001,22-Aug-2023 15:59:49,30.41,16.33
505,KENNAMETEQN,2710.0,2710.0,2660.95,2665.0,2710.0,-45.0,-1.6600000000000001,2993.0,1965.0,14910,39982506.9,22-Aug-2023 15:57:18,18.4,4.68
506,IBULHSGFINEQN,155.4,159.9,151.05,151.95,154.6,-2.65,-1.71,173.8,91.8,18824461,2924003527.13,22-Aug-2023 15:59:27,19.11,27.51
507,CSBBANKEQN,325.0,325.9,315.95,316.65,322.25,-5.6,-1.74,329.2,198.0,323746,103258786.7,22-Aug-2023 15:59:24,55.08,10.83
508,FINCABLESEQN,1065.0,1073.4,1032.7,1048.95,1067.8,-18.85,-1.77,1140.0,436.7,337652,353781636.04,22-Aug-2023 15:58:30,134.55,6.44
509,JYOTHYLABEQN,336.7,342.05,327.1,327.85,334.05,-6.2,-1.8599999999999999,347.25,174.55,902357,301946699.34000003,22-Aug-2023 15:58:34,87.56,37.53
510,TCIEQN,800.0,809.65,787.0,787.0,803.05,-16.05,-2.0,844.95,555.25,34426,27531160.720000003,22-Aug-2023 15:54:41,5.37,6.4
511,JKPAPEREQN,367.75,368.8,357.05,358.9,366.65,-7.75,-2.11,453.2,306.4,1058179,382701017.14000005,22-Aug-2023 15:58:52,-12.64,15.55
512,TMBEQN,573.35,574.45,536.05,541.0,572.3,-31.3,-5.47,581.0,399.0,1704622,947207306.7399999,22-Aug-2023 15:59:35,-,33.34
513,NIFTY BANK,44125.0,44151.3,43938.7,43993.25,44002.0,-8.75,-0.02,46369.5,37386.35,160746391,79972068665.73,22-Aug-2023 16:00:00,12.87,-4.5
514,NIFTY FIN SERVICE,19626.5,19657.6,19527.4,19551.75,19571.5,-19.75,-0.1,20666.6,16983.75,123940356,103388540246.24,22-Aug-2023 16:00:00,8.04,-4.69
515,NIFTY500 MULTICAP,11397.55,11431.0,11392.6,11424.3,11367.15,57.149999999999636,0.5,11460.55,5531.55,2251643586,534172167815.54,22-Aug-2023 16:00:00,15.41,0.9500000000000001
516,TATAMTRDVREQN,402.5,405.8,402.05,403.0,401.05,1.9500000000000002,0.49,437.0,189.5,1457967,588639596.58,22-Aug-2023 15:59:39,70.88,14.19
517,NIFTY AUTO,15445.85,15533.0,15422.65,15507.9,15427.6,80.29999999999927,0.52,15912.15,11901.85,31638650,22461929258.51,22-Aug-2023 16:00:00,19.16,-1.04
518,NIFTY 500,16886.95,16925.45,16874.8,16905.25,16852.05,53.20000000000073,0.32,17102.1,14177.5,2251643586,534172167815.54,22-Aug-2023 16:00:00,10.6,-0.31
519,NIFTY FMCG,51912.1,52234.5,51769.35,52141.65,51799.0,342.65000000000146,0.66,54349.85,42226.55,19633214,17554760928.73,22-Aug-2023 16:00:00,20.62,-3.54
520,NIFTY IT,30973.9,31024.6,30785.7,30902.4,30937.55,-35.14999999999782,-0.11,31658.1,26184.45,11442798,18176248903.92,22-Aug-2023 16:00:00,3,3.5700000000000003
521,NIFTY METAL,6606.35,6647.75,6596.5,6634.4,6578.4,56.0,0.85,6919.6,5209.35,88210763,41697841190.5,22-Aug-2023 16:00:00,11.82,2.11
522,NIFTY MEDIA,2252.85,2270.85,2247.75,2258.35,2245.05,13.299999999999727,0.59,2270.85,1636.65,89199639,6217668255.4,22-Aug-2023 16:00:00,8.79,13.15
523,NIFTY PSU BANK,4586.8,4601.15,4546.5,4552.25,4574.5,-22.25,-0.49,4647.95,2856.0,134075106,17688244133.28,22-Aug-2023 16:00:00,60.57,0.22
524,PSBEQN,35.95,36.35,35.2,35.3,35.8,-0.5,-1.4,44.75,14.15,2567204,91058725.88,22-Aug-2023 15:59:57,137.09,5.92
525,NIFTY MICROCAP250,15072.6,15202.15,15072.4,15181.55,15004.3,177.25,1.18,15202.15,5802.95,893001226,60232504487.89,22-Aug-2023 16:00:00,44.56,7.21
526,EVEREADYEQN,382.0,425.0,380.0,421.5,373.75,47.75,12.78,425.0,273.35,3587262,1466723813.94,22-Aug-2023 15:59:42,4.49,10.35
527,SOTLEQN,296.25,339.0,294.85,327.5,293.55,33.95,11.57,412.8,232.3,1739972,568588050.16,22-Aug-2023 15:59:59,-80.38,-1.38
528,INDIAGLYCOEQN,703.2,764.0,703.2,758.45,701.85,56.6,8.06,977.7,512.35,1180124,886273124.0,22-Aug-2023 15:53:18,-16.21,15.25
529,EMILEQN,130.5,140.0,129.35,139.7,129.9,9.8,7.54,140.0,61.6,2739999,371763064.32,22-Aug-2023 15:59:55,-,20.11
530,HCCEQN,24.7,26.6,24.7,26.4,24.55,1.85,7.54,27.1,12.0,54387406,1420599044.72,22-Aug-2023 15:59:54,94.84,26.55
531,HBLPOWEREQN,261.05,285.9,260.25,279.45,260.05,19.4,7.46,285.9,74.5,7463341,2059359682.13,22-Aug-2023 15:59:39,237.29,54.29
532,GMDCLTDEQN,183.2,196.65,181.65,195.25,182.1,13.15,7.22,196.65,122.7,12311289,2358104295.06,22-Aug-2023 15:59:20,-0.14,-1.06
533,MAYURUNIQEQN,543.0,583.9,540.3,575.65,538.4,37.25,6.92,583.9,393.2,706801,401964796.71000004,22-Aug-2023 15:59:58,13.09,7.08
534,RPOWEREQN,16.4,17.55,16.35,17.45,16.35,1.1,6.73,25.0,9.05,137649420,2352428587.8,22-Aug-2023 15:59:58,9.36,3.48
535,GTLINFRAEQN,0.75,0.8,0.7000000000000001,0.8,0.75,0.05,6.67,1.8,0.6000000000000001,19187593,14582570.68,22-Aug-2023 15:59:29,-44.44,0
536,PARADEEPEQN,62.65,67.25,62.65,66.45,62.5,3.95,6.32,72.0,47.5,7251735,478396957.95,22-Aug-2023 15:59:49,30.34,-1.03
537,NEWGENEQN,917.85,999.95,915.1,972.9,915.1,57.8,6.32,999.95,299.95,1108409,1077151866.2,22-Aug-2023 15:59:50,122.14,10.07
538,FUSIONEQN,566.65,603.4,565.0,596.5,561.65,34.85,6.2,691.0,321.1,643847,381357016.57,22-Aug-2023 15:59:37,-,-8.97
539,SOUTHBANKEQN,22.4,23.85,22.3,23.65,22.35,1.3,5.82,23.85,7.85,120759925,2807668256.25,22-Aug-2023 15:59:58,181.13,8.5
540,GUFICBIOEQN,262.9,277.8,260.55,276.15,261.35,14.8,5.66,292.5,177.65,334091,90939570.2,22-Aug-2023 15:59:08,30.45,8.92
541,TIPSINDLTDEQN,296.55,315.95,296.55,311.9,295.45,16.45,5.57,337.7,139.07,266655,81884417.39999999,22-Aug-2023 15:59:16,-81.22,0.75
542,IFCIEQN,13.75,14.5,13.75,14.4,13.65,0.75,5.49,16.65,9.0,15623029,222159472.38,22-Aug-2023 15:59:53,25.81,7.48
543,STARCEMENTEQN,153.35,162.0,153.35,161.5,153.15,8.35,5.45,169.95,91.1,871440,139500115.20000002,22-Aug-2023 15:59:08,60.53,7.1
544,RTNPOWEREQN,4.75,5.15,4.7,5.0,4.75,0.25,5.26,6.1,2.8,133660878,662957954.88,22-Aug-2023 15:59:57,20.25,-4.04
545,NRBBEARINGEQN,228.0,239.95,226.55,236.65,225.3,11.35,5.04,269.7,125.0,377466,88398762.54,22-Aug-2023 15:59:08,48.61,-2.02
546,RELINFRABEN,164.0,170.45,162.35,170.45,162.35,8.1,4.99,215.5,114.6,1399967,234620469.53,22-Aug-2023 15:59:58,-,-
547,JWLEQN,298.3,300.2,287.05,300.2,285.95,14.25,4.98,300.2,57.05,1104626,330040156.28,22-Aug-2023 15:59:28,377.78,46.3
548,PCJEWELLEREQN,26.7,27.7,26.5,27.7,26.4,1.3,4.92,105.5,21.3,3438210,93794368.8,22-Aug-2023 15:59:41,-61.85,-14.98
549,KIRLOSBROSEQN,792.1,848.15,792.1,835.5,797.15,38.35,4.8100000000000005,992.7,286.1,149907,124094513.66999999,22-Aug-2023 15:59:58,162.52,14.81
550,UNIPARTSEQN,589.95,614.95,589.9,608.9,582.75,26.15,4.49,722.65,501.15,286433,173718750.17000002,22-Aug-2023 15:59:05,-,-8.8
551,POWERMECHEQN,3907.1,4093.95,3855.0,4078.0,3907.1,170.9,4.37,5069.45,1250.05,62650,248083349.5,22-Aug-2023 15:51:18,205.84,1.01
552,CARTRADEEQN,510.0,518.0,505.0,507.05,486.3,20.75,4.27,733.0,340.15,613820,312974541.6,22-Aug-2023 15:59:29,-23.27,-4.57
553,JPPOWEREQN,7.2,7.55,7.15,7.4,7.1,0.30000000000000004,4.23,9.45,5.15,80544054,586360713.12,22-Aug-2023 15:59:51,-4.7,19.33
554,INOXWINDEQN,199.0,203.1,199.0,202.8,194.65,8.15,4.19,228.4,88.8,1166428,235046906.28,22-Aug-2023 15:59:15,80.9,2.8
555,SANSERAEQN,920.0,957.95,912.85,954.0,915.9,38.1,4.16,998.2,673.05,287999,272991372.11,22-Aug-2023 15:58:26,24.79,-1.04
556,RATEGAINEQN,552.95,585.9,552.95,574.7,551.8,22.9,4.15,605.0,252.6,531998,305037013.24,22-Aug-2023 15:59:39,83.44,25.22
557,PANAMAPETEQN,286.0,294.4,285.5,293.0,286.55,11.45,4.07,425.0,268.0,123158,35752767.4,22-Aug-2023 15:55:41,-5.32,-2.12
558,HARSHAEQN,437.5,454.8,430.65,452.0,435.3,16.7,3.84,527.65,309.0,433466,194626234.0,22-Aug-2023 15:57:05,-,-1.38
559,TIDEWATEREQN,1168.05,1232.8,1167.5,1208.0,1164.0,44.0,3.7800000000000002,1232.8,805.15,276705,334821351.15,22-Aug-2023 15:59:35,-0.21,8.1
560,AARTIPHARMEQN,370.35,383.0,367.0,379.75,366.2,13.55,3.7,425.0,234.8,490944,185738843.51999998,22-Aug-2023 15:59:37,-,8.55
561,ASTRAMICROEQN,352.1,365.0,352.0,361.5,348.8,12.7,3.64,389.5,213.3,539284,194498167.44000003,22-Aug-2023 15:55:11,12.92,-5.92
562,PRUDENTEQN,1141.1,1186.0,1141.1,1180.0,1138.75,41.25,3.62,1262.95,570.95,15595,18230399.05,22-Aug-2023 15:44:22,85.13,0.36
563,DHANIBEN,40.85,41.95,40.05,41.95,40.5,1.45,3.58,72.0,23.6,986120,40707033.6,22-Aug-2023 15:54:06,-,-
564,VOLTAMPEQN,5480.0,5681.45,5451.2,5579.0,5386.35,192.65,3.58,5681.45,2381.0,46398,260193024.3,22-Aug-2023 15:43:05,93.14,15.79
565,KOLTEPATILEQN,440.4,457.7,437.2,453.3,438.45,14.85,3.39,467.0,231.0,253698,114656274.12,22-Aug-2023 15:58:37,57.29,18.4
566,MOLEQN,79.2,83.9,79.0,81.35,78.75,2.6,3.3,135.9,76.0,1359185,111045414.5,22-Aug-2023 15:59:58,-37.1,-4.66
567,GLOBUSSPREQN,936.0,965.6,930.1,957.0,926.5,30.5,3.29,1327.7,721.5,253672,239078249.84,22-Aug-2023 15:59:28,2.08,-22.26
568,RAILTELEQN,169.8,176.9,169.2,174.45,169.0,5.45,3.22,182.9,94.2,5666205,987619531.5000001,22-Aug-2023 15:59:32,74.23,8.89
569,CARYSILEQN,624.9,650.95,624.9,645.05,624.9,20.15,3.22,739.5,431.05,79004,50226002.96,22-Aug-2023 15:59:52,-,-10.95
570,UJJIVANEQN,492.25,509.0,490.55,505.0,489.75,15.25,3.11,526.95,172.1,1014976,511284010.24,22-Aug-2023 15:59:48,174.22,12.53
571,CMSINFOEQN,351.0,364.35,350.5,362.15,351.45,10.7,3.04,409.4,253.1,1208860,434972005.2,22-Aug-2023 15:57:42,32.22,-7.61
572,IMFAEQN,349.7,360.5,346.55,357.75,347.2,10.55,3.04,377.65,231.0,152943,54135704.279999994,22-Aug-2023 15:59:39,24.24,1.7000000000000002
573,GREENPLYEQN,164.2,169.0,164.2,168.55,163.65,4.9,2.99,206.8,134.5,258956,43481301.96,22-Aug-2023 15:56:38,-10.35,-6.11
574,DISHTVEQN,18.75,19.45,18.7,19.05,18.5,0.55,2.9699999999999998,24.4,11.35,26303931,502405082.1,22-Aug-2023 15:59:36,60.87,-4.64
575,PDSLEQN,325.0,333.9,322.55,331.5,321.95,9.55,2.9699999999999998,384.4,280.0,78641,25919287.189999998,22-Aug-2023 15:48:41,-81.09,-6.91
576,SCHNEIDEREQN,332.95,350.7,332.95,340.0,330.55,9.45,2.86,350.7,117.4,1636305,562348939.35,22-Aug-2023 15:59:07,175.46,16.47
577,MARKSANSEQN,110.1,114.9,110.0,112.75,109.7,3.05,2.7800000000000002,122.5,45.4,3285967,370755656.61,22-Aug-2023 15:59:47,115.31,0.18
578,ARVINDEQN,163.45,169.5,163.15,166.5,162.05,4.45,2.75,169.5,77.7,3238418,541333952.88,22-Aug-2023 15:59:38,63.19,18.8
579,SULAEQN,495.7,508.4,489.0,508.0,494.65,13.35,2.7,535.0,305.35,731582,368549064.14,22-Aug-2023 15:56:18,-,2.65
580,SAFARIEQN,3549.85,3695.0,3522.55,3625.0,3529.95,95.05,2.69,3695.0,1385.2,79218,286384952.7,22-Aug-2023 15:56:41,143.32,15.69
581,COSMOFIRSTEQN,623.8,640.0,622.65,637.9,622.0,15.9,2.56,925.0,550.05,39942,25267708.62,22-Aug-2023 15:55:43,-30.67,-3.63
582,ICILEQN,245.05,250.1,244.0,248.5,242.35,6.15,2.54,250.1,101.25,957528,237505245.12,22-Aug-2023 15:56:16,65.71,15.65
583,AHLUCONTEQN,707.65,729.4,698.0,722.5,705.15,17.35,2.46,774.2,393.6,81997,59040299.91,22-Aug-2023 15:47:28,58.82,3.02
584,DENEQN,42.5,43.85,42.45,43.3,42.3,1.0,2.36,44.65,25.2,2449247,106199349.92,22-Aug-2023 15:56:09,16.05,16.53
585,WELENTEQN,312.45,318.7,311.1,315.95,308.85,7.1,2.3,318.7,110.0,715085,225544959.85000002,22-Aug-2023 15:58:14,176.01,34.52
586,STYRENIXEQN,1065.0,1088.95,1051.1,1080.1,1056.6,23.5,2.22,1229.0,696.1,27583,29644553.42,22-Aug-2023 15:52:43,-,-9.34
587,FAIRCHEMOREQN,1071.0,1100.95,1069.05,1094.0,1070.7,23.3,2.18,2449.9,904.9,17462,19014546.42,22-Aug-2023 15:48:21,-44.16,-9.73
588,ESABINDIAEQN,5620.5,5797.0,5597.4,5742.0,5620.5,121.5,2.16,5798.0,3035.0,7609,43386289.730000004,22-Aug-2023 15:40:41,76.37,22.53
589,MOREPENLABEQN,36.75,39.8,36.75,37.85,37.05,0.8,2.16,48.45,23.6,11767948,455184228.64,22-Aug-2023 15:59:56,7.55,27.1
590,UJJIVANSFBEQN,49.35,51.25,49.25,50.4,49.35,1.05,2.13,52.25,19.4,22520636,1136841705.28,22-Aug-2023 15:59:45,137.26,15.44
591,HATHWAYEQN,16.85,17.35,16.85,17.1,16.75,0.35000000000000003,2.09,19.65,12.25,6633677,113435876.7,22-Aug-2023 15:59:49,-1.47,9.12
592,VESUVIUSEQN,3430.95,3548.0,3430.95,3489.95,3418.8,71.15,2.08,3738.0,1355.4,20858,73141288.54,22-Aug-2023 15:56:07,145.41,24.52
593,SOMANYCERAEQN,674.9,692.85,673.3,688.9,674.9,14.0,2.07,819.0,446.0,60150,41208765.0,22-Aug-2023 15:59:20,4.41,-7.72
594,DCALEQN,154.55,158.8,154.0,156.9,153.75,3.15,2.05,171.4,80.0,483462,75681141.47999999,22-Aug-2023 15:59:07,28.5,-1.88
595,INDOCOEQN,330.05,336.6,330.05,335.9,329.35,6.55,1.99,423.9,306.4,65134,21744985.900000002,22-Aug-2023 15:54:56,-6.29,-0.81
596,MOLDTKPACEQN,962.1,978.0,925.0,970.0,951.6,18.4,1.9300000000000002,1110.0,811.0,128339,124405409.65,22-Aug-2023 15:58:27,-2.27,-8.43
597,JPASSOCIATEQN,7.9,8.15,7.85,8.0,7.85,0.15,1.9100000000000001,12.5,6.55,10341701,82940442.02,22-Aug-2023 15:59:14,-4.27,-1.26
598,SBCLEQN,508.0,527.7,508.0,517.0,508.0,9.0,1.77,750.0,327.1,388096,201212252.16000003,22-Aug-2023 15:58:29,2.08,-27.77
599,APOLLOPIPEEQN,705.0,705.0,692.85,705.0,692.85,12.15,1.75,790.0,437.1,35216,24546960.639999997,22-Aug-2023 15:54:41,34.49,-8.97
600,LANDMARKEQN,724.0,733.95,719.4,733.05,720.5,12.55,1.74,780.8,431.15,53587,39011336.0,22-Aug-2023 15:58:10,-,-1.9
601,THYROCAREEQN,526.95,538.0,526.95,536.0,526.95,9.05,1.72,768.25,415.4,21764,11663109.959999999,22-Aug-2023 15:58:23,-19.58,-9.33
602,SYRMAEQN,470.0,482.8,468.45,475.45,467.55,7.9,1.69,517.0,248.1,613182,292831195.92,22-Aug-2023 15:59:26,-,-0.51
603,KCPEQN,115.65,118.75,115.65,117.5,115.6,1.9,1.6400000000000001,137.4,91.7,246535,29014704.15,22-Aug-2023 15:52:44,6.06,1.58
604,SUDARSCHEMEQN,502.0,517.0,497.4,508.0,499.8,8.2,1.6400000000000001,566.95,341.0,250744,126653301.84,22-Aug-2023 15:55:37,6.2,5
605,GREAVESCOTEQN,132.95,136.25,132.1,134.9,132.75,2.15,1.62,184.65,118.15,1435984,192393136.32,22-Aug-2023 15:59:58,-22.84,-2.96
606,CHENNPETROEQN,372.95,382.0,372.85,375.2,369.25,5.95,1.6099999999999999,458.5,186.6,1586536,598425513.84,22-Aug-2023 15:59:38,30.27,-16.63
