,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,yearHigh,yearLow,totalTradedVolume,totalTradedValue,lastUpdateTime,perChange365d,perChange30d
182,LICHSGFINEQN,420.75,427.15,420.75,423.0,420.55,2.45,0.58,445.45,315.1,2451605,1037960524.9,22-Aug-2023 15:56:11,7.32,8.99
183,LUPINEQN,1091.35,1094.0,1085.95,1092.2,1086.35,5.85,0.54,1143.95,623.0,886779,966367415.25,22-Aug-2023 15:59:45,57.68,15.98
184,UBLEQN,1535.0,1550.0,1520.0,1539.9,1531.8,8.1,0.53,1806.45,1353.5,162497,248708158.38,22-Aug-2023 15:51:36,-8.2,0.66
185,MRFEQN,108300.0,108549.95,107758.0,108226.0,107798.45,427.55,0.4,111997.0,78689.95,3566,385825153.0,22-Aug-2023 15:58:33,24.15,5.59
186,BIOCONEQN,259.7,262.2,258.75,260.0,259.45,0.55,0.21,310.5,191.55,1855647,482728010.58,22-Aug-2023 15:58:03,-15.8,-1.7000000000000002
187,SHRIRAMFINEQN,1853.95,1853.95,1830.7,1847.0,1843.25,3.75,0.2,1901.0,1146.0,978416,1803709896.0,22-Aug-2023 15:58:15,-,0.64
188,BATAINDIAEQN,1735.8,1740.0,1716.55,1736.0,1732.65,3.35,0.19,1984.8,1381.05,166278,287476371.42,22-Aug-2023 15:54:41,-9.61,2.91
189,TVSMOTOREQN,1346.2,1357.0,1335.65,1352.0,1349.5,2.5,0.19,1400.9,925.0,819736,1104930351.76,22-Aug-2023 15:58:33,40.76,0.49
190,PERSISTENTEQN,5039.7,5065.15,5005.35,5019.95,5010.7,9.25,0.18,5278.95,3092.05,340691,1716758983.55,22-Aug-2023 15:59:19,33.13,5.5
191,BALKRISINDEQN,2385.15,2395.0,2375.4,2386.15,2382.1,4.05,0.17,2570.0,1796.3,64480,153867979.2,22-Aug-2023 15:51:57,9.83,-1.4
192,PNBEQN,62.35,62.75,62.3,62.45,62.35,0.1,0.16,65.15,32.15,16228098,1014418405.98,22-Aug-2023 15:59:54,86.96,-0.4
193,LTTSEQN,4350.0,4382.45,4320.25,4350.0,4344.75,5.25,0.12,4399.0,3215.85,152430,664437797.1,22-Aug-2023 15:55:38,14.54,7.49
194,GUJGASLTDEQN,457.0,457.0,452.15,454.95,454.8,0.15,0.03,539.1,438.6,721647,327764850.93,22-Aug-2023 15:59:46,-7.35,-3.03
195,CUMMINSINDEQN,1755.0,1760.0,1741.6,1750.35,1752.1,-1.75,-0.1,1980.15,1150.0,479017,839443761.3100001,22-Aug-2023 15:53:01,43.1,-6.98
196,ABBOTINDIAEQN,23436.05,23583.85,23328.7,23401.5,23436.05,-34.55,-0.15,24744.25,17325.0,6529,153336894.79,22-Aug-2023 15:42:19,24.52,1.09
197,HINDPETROEQN,261.95,262.65,259.2,260.05,260.5,-0.45,-0.17,309.9,200.05,1564969,408300412.09999996,22-Aug-2023 15:57:35,-1.21,-13.61
198,PETRONETEQN,221.65,222.0,220.45,221.15,221.65,-0.5,-0.23,242.4,195.7,780003,172419663.15,22-Aug-2023 15:59:17,4.09,-0.85
199,RECLTDEQN,239.85,243.2,237.15,238.1,238.9,-0.8,-0.33,243.2,91.05,17249691,4152000623.7,22-Aug-2023 15:59:54,127.74,47.61
200,HONAUTEQN,40361.0,40570.4,40030.3,40300.0,40455.4,-155.4,-0.38,44150.0,34343.4,1925,77359205.0,22-Aug-2023 15:43:17,-3.3,-5.08
201,ZYDUSLIFEEQN,653.45,660.85,647.8,650.05,653.1,-3.05,-0.47000000000000003,668.75,350.25,899216,586954251.84,22-Aug-2023 15:58:58,68.19,6.51
202,SAILEQN,86.7,86.7,85.45,85.5,86.05,-0.55,-0.64,96.15,73.2,8750174,752252458.78,22-Aug-2023 15:59:50,5.26,-4.55
203,COFORGEEQN,5040.0,5043.3,4952.0,4962.0,4996.5,-34.5,-0.6900000000000001,5419.9,3210.05,171782,856558304.4200001,22-Aug-2023 15:57:57,27.34,7.68
204,OFSSEQN,4020.0,4024.0,3947.25,3958.9,3998.0,-39.1,-0.98,4144.8,2883.25,40271,160026483.54,22-Aug-2023 15:58:55,19.77,3.67
205,ALKEMEQN,3833.95,3844.65,3763.8,3773.0,3823.1,-50.1,-1.31,4243.0,2855.0,81156,307239573.24,22-Aug-2023 15:58:25,30.22,3.3
206,AUROPHARMAEQN,843.1,848.0,828.8,841.05,853.4,-12.35,-1.45,887.7,397.2,2898526,2429631448.98,22-Aug-2023 15:56:20,49.9,9.47
207,NIFTY MIDCAP 100,38263.85,38563.0,38237.65,38544.3,38126.4,417.90000000000146,1.1,38563.0,29200.2,929315342,130153049804.22,22-Aug-2023 16:00:00,22.97,3.61
208,BHELEQN,101.5,112.85,101.05,110.8,100.95,9.85,9.76,112.85,51.75,100869823,10896966978.69,22-Aug-2023 15:59:57,86.6,6.83
